country_code,region_name,iata,icao,airport,lat,lon,city_n_zh,province_n_zh,city_n_en,province_n_en
CN,Heilongjiang,FYJ,ZYFY,Fuyuan Dongji Airport,48.1995,134.366,佳木斯市,黑龙江省,Jiamusi,Heilongjiang
CN,Heilongjiang,HEK,ZYHE,Heihe Airport,50.1716,127.309,黑河市,黑龙江省,Heihe,Heilongjiang
CN,Heilongjiang,HRB,ZYHB,Harbin Taiping International Airport,45.6234,126.25,哈尔滨市,黑龙江省,Haerbin,Heilongjiang
CN,Heilongjiang,JGD,ZYJD,Jiagedaqi Airport,50.3714,124.118,呼伦贝尔市,内蒙古自治区,Hulunbeier,Neimenggu
CN,Heilongjiang,JMU,ZYJM,Jiamusi Dongjiao Airport,46.8434,130.465,佳木斯市,黑龙江省,Jiamusi,Heilongjiang
CN,Heilongjiang,JSJ,ZYJS,Jiansanjiang Airport,47.11,132.66,佳木斯市,黑龙江省,Jiamusi,Heilongjiang
CN,Heilongjiang,JXA,ZYJX,Jixi Xingkaihu Airport,45.293,131.193,鸡西市,黑龙江省,Jixi,Heilongjiang
CN,Heilongjiang,LDS,ZYLD,Yichun Lindu Airport,47.7521,129.019,伊春市,黑龙江省,Yichun,Heilongjiang
CN,Heilongjiang,MDG,ZYMD,Mudanjiang Hailang Airport,44.5241,129.569,牡丹江市,黑龙江省,Mudanjiang,Heilongjiang
CN,Heilongjiang,NDG,ZYQQ,Qiqihar Sanjiazi Airport,47.2396,123.918,齐齐哈尔市,黑龙江省,Qiqihaer,Heilongjiang
CN,Heilongjiang,OHE,ZYMH,Mohe Gulian Airport,52.9128,122.43,大兴安岭地区,黑龙江省,Daxinganling,Heilongjiang
CN,Heilongjiang,YLN,ZYYL,Yilan Airport,46.317,129.567,哈尔滨市,黑龙江省,Haerbin,Heilongjiang
CN,Henan,AYN,ZHAY,Anyang Airport,36.1339,114.344,安阳市,河南省,Anyang,Henan
CN,Henan,CGO,ZHCC,Zhengzhou Xinzheng International Airport,34.5197,113.841,郑州市,河南省,Zhengzhou,Henan
CN,Henan,HSJ,,Zhengzhou Shangjie Airport,34.8422,113.274,郑州市,河南省,Zhengzhou,Henan
CN,Henan,LYA,ZHLY,Luoyang Beijiao Airport,34.7411,112.388,洛阳市,河南省,Luoyang,Henan
CN,Henan,NNY,ZHNY,Nanyang Jiangying Airport,32.9808,112.615,南阳市,河南省,Nanyang,Henan
CN,Henan Sheng,XAI,ZHXY,Xinyang Minggang Airport,32.5414,114.078,驻马店市,河南省,Zhumadian,Henan
CN,Hubei,ENH,ZHES,Enshi Xujiaping Airport,30.3203,109.485,恩施土家族苗族自治州,湖北省,Enshitujiazumiaozu,Hubei
CN,Hubei,HPG,ZHSN,Shennongjia Hongping Airport,31.626,110.34,神农架林区,湖北省,Shennongjialin,Hubei
CN,Hubei,LHK,ZHGH,Laohekou Airport,32.3894,111.695,襄阳市,湖北省,Xiangyang,Hubei
CN,Hubei,SHS,ZHSS,Shashi Airport,30.3243,112.28,荆州市,湖北省,Jingzhou,Hubei
CN,Hubei,WDS,ZHSY,Shiyan Wudangshan Airport,32.5917,110.908,十堰市,湖北省,Shiyan,Hubei
CN,Hubei,WUH,ZHHH,Wuhan Tianhe International Airport,30.7838,114.208,武汉市,湖北省,Wuhan,Hubei
CN,Hubei,XFN,ZHXF,Xiangyang Liuji Airport,32.1506,112.291,襄阳市,湖北省,Xiangyang,Hubei
CN,Hubei,YIH,ZHYC,Yichang Sanxia Airport,30.5565,111.48,宜昌市,湖北省,Yichang,Hubei
CN,Hubei Sheng,EHU,ZHEC,Ezhou Huahu Airport,30.3429,115.03,鄂州市,湖北省,Ezhou,Hubei
