country_code,region_name,iata,icao,airport,lat,lon,地名,区划码,地级,地级码,地级类,省级,省级码,省级类,NAME_1,TYPE_1
CN,Hunan,CGD,ZGCD,Changde Taohuayuan Airport,28.9189,111.64,常德市,430700,常德市,430700,地级市,湖南省,430000,省,Hunan,Province
CN,Hunan,CSX,ZGHA,Changsha Huanghua International Airport,28.1892,113.22,长沙市,430100,长沙市,430100,地级市,湖南省,430000,省,Hunan,Province
CN,Hunan,DYG,ZGDY,Zhangjiajie Hehua Airport,29.1028,110.443,张家界市,430800,张家界市,430800,地级市,湖南省,430000,省,Hunan,Province
CN,Hunan,HJJ,ZGCJ,Huaihua Zhijiang Airport,27.4411,109.7,怀化市,431200,怀化市,431200,地级市,湖南省,430000,省,Hunan,Province
CN,Hunan,HNY,ZGHY,Hengyang Nanyue Airport,26.9053,112.628,衡阳市,430400,衡阳市,430400,地级市,湖南省,430000,省,Hunan,Province
CN,Hunan,LLF,ZGLG,Yongzhou Lingling Airport,26.3387,111.61,永州市,431100,永州市,431100,地级市,湖南省,430000,省,Hunan,Province
CN,Hunan,WGN,ZGSY,Shaoyang Wugang Airport,26.802,110.642,邵阳市,430500,邵阳市,430500,地级市,湖南省,430000,省,Hunan,Province
CN,Hunan,HCZ,ZGCZ,Chenzhou Beihu Airport,25.7506,112.846,郴州市,431000,郴州市,431000,地级市,湖南省,430000,省,Hunan,Province
CN,Hunan,YYA,ZGYY,Yueyang Sanhe Airport,29.314,113.278,岳阳市,430600,岳阳市,430600,地级市,湖南省,430000,省,Hunan,Province
CN,Jiangsu,CZX,ZSCG,Changzhou Benniu Airport,31.9197,119.779,常州市,320400,常州市,320400,地级市,江苏省,320000,省,Jiangsu,Province
CN,Jiangsu,HIA,ZSSH,Huai'an Lianshui Airport,33.7908,119.125,淮安市,320800,淮安市,320800,地级市,江苏省,320000,省,Jiangsu,Province
CN,Jiangsu,LYG,ZSLG,Lianyungang Baitabu Airport,34.5717,118.874,连云港市,320700,连云港市,320700,地级市,江苏省,320000,省,Jiangsu,Province
CN,Jiangsu,NKG,ZSNJ,Nanjing Lukou International Airport,31.742,118.862,南京市,320100,南京市,320100,地级市,江苏省,320000,省,Jiangsu,Province
CN,Jiangsu,NTG,ZSNT,Nantong Xingdong Airport,32.0708,120.976,南通市,320600,南通市,320600,地级市,江苏省,320000,省,Jiangsu,Province
CN,Jiangsu,SZV,ZSSZ,Suzhou Guangfu Airport,31.2631,120.401,苏州市,320500,苏州市,320500,地级市,江苏省,320000,省,Jiangsu,Province
CN,Jiangsu,WUX,ZSWX,Sunan Shuofang International Airport,31.4944,120.429,无锡市,320200,无锡市,320200,地级市,江苏省,320000,省,Jiangsu,Province
CN,Jiangsu,XUZ,ZSXZ,Xuzhou Guanyin Airport,34.0591,117.555,徐州市,320300,徐州市,320300,地级市,江苏省,320000,省,Jiangsu,Province
CN,Jiangsu,YNZ,ZSYN,Yancheng Nanyang International Airport,33.4258,120.203,盐城市,320900,盐城市,320900,地级市,江苏省,320000,省,Jiangsu,Province
CN,Jiangsu,YTY,ZSYA,Yangzhou Taizhou Airport,32.5602,119.717,扬州市,321000,扬州市,321000,地级市,江苏省,320000,省,Jiangsu,Province
CN,Jiangxi,JDZ,ZSJD,Jingdezhen Luojia Airport,29.3386,117.176,景德镇市,360200,景德镇市,360200,地级市,江西省,360000,省,Jiangxi,Province
CN,Jiangxi,JGS,ZSJA,Jinggangshan Airport,26.8569,114.737,吉安市,360800,吉安市,360800,地级市,江西省,360000,省,Jiangxi,Province
CN,Jiangxi,JIU,ZSJJ,Jiujiang Lushan Airport,29.4769,115.801,九江市,360400,九江市,360400,地级市,江西省,360000,省,Jiangxi,Province
CN,Jiangxi,KHN,ZSCN,Nanchang Changbei International Airport,28.865,115.9,南昌市,360100,南昌市,360100,地级市,江西省,360000,省,Jiangxi,Province
CN,Jiangxi,KOW,ZSGZ,Ganzhou Huangjin Airport,25.8533,114.779,赣州市,360700,赣州市,360700,地级市,江西省,360000,省,Jiangxi,Province
CN,Jiangxi,SQD,ZSSR,Shangrao Sanqingshan Airport,28.3797,117.964,上饶市,361100,上饶市,361100,地级市,江西省,360000,省,Jiangxi,Province
CN,Jiangxi,YIC,ZSYC,Yichun Mingyueshan Airport,27.8025,114.306,宜春市,360900,宜春市,360900,地级市,江西省,360000,省,Jiangxi,Province
CN,Jilin,CGQ,ZYCC,Changchun Longjia International Airport,43.9962,125.685,长春市,220100,长春市,220100,地级市,吉林省,220000,省,Jilin,Province
CN,Jilin,DBC,ZYBA,Baicheng Chang'an Airport,45.5053,123.02,白城市,220800,白城市,220800,地级市,吉林省,220000,省,Jilin,Province
CN,Jilin,JIL,ZYJL,Jilin Ertaizi Airport,44.0022,126.396,吉林市,220200,吉林市,220200,地级市,吉林省,220000,省,Jilin,Province
CN,Jilin,NBS,ZYBS,Changbaishan Airport,42.0669,127.602,白山市,220600,白山市,220600,地级市,吉林省,220000,省,Jilin,Province
CN,Jilin,TNH,ZYTN,Tonghua Sanyuanpu Airport,42.2539,125.703,通化市,220500,通化市,220500,地级市,吉林省,220000,省,Jilin,Province
CN,Jilin,YNJ,ZYYJ,Yanji Chaoyangchuan Airport,42.8828,129.451,延边朝鲜族自治州,222400,延边朝鲜族自治州,222400,自治州,吉林省,220000,省,Jilin,Province
CN,Jilin,YSQ,ZYSQ,Songyuan Chaganhu Airport,44.9381,124.55,松原市,220700,松原市,220700,地级市,吉林省,220000,省,Jilin,Province
CN,Liaoning,AOG,ZYAS,Anshan Teng'ao Airport,41.1053,122.854,鞍山市,210300,鞍山市,210300,地级市,辽宁省,210000,省,Liaoning,Province
CN,Liaoning,CHG,ZYCY,Chaoyang Airport,41.5381,120.435,朝阳市,211300,朝阳市,211300,地级市,辽宁省,210000,省,Liaoning,Province
CN,Liaoning,CNI,ZYCH,Changhai Airport,39.2667,122.667,大连市,210200,大连市,210200,地级市,辽宁省,210000,省,Liaoning,Province
CN,Liaoning,DDG,ZYDD,Dandong Langtou Airport,40.0247,124.286,丹东市,210600,丹东市,210600,地级市,辽宁省,210000,省,Liaoning,Province
CN,Liaoning,DLC,ZYTL,Dalian Zhoushuizi International Airport,38.9657,121.539,大连市,210200,大连市,210200,地级市,辽宁省,210000,省,Liaoning,Province
CN,Liaoning,JNZ,ZYJZ,Jinzhou Bay Airport,41.1014,121.062,锦州市,210700,锦州市,210700,地级市,辽宁省,210000,省,Liaoning,Province
CN,Liaoning,SHE,ZYTX,Shenyang Taoxian International Airport,41.6398,123.483,沈阳市,210100,沈阳市,210100,地级市,辽宁省,210000,省,Liaoning,Province
